gruiformes: Animal
antrozous: Animal
eleutherodactylus: Animal
moonwort: Nature
tiliaceae: Nature
mnium: Nature
testacean: Animal
processing: Tech
myxinidae: Animal
reptantia: Animal
candlepower: Light
mycologist : Nature 
chondrite : Earth
popgun : Blunt
twinberry : Nature 
cutback : Cutting
computerization : Tech
gosling : Animal 
molester : Evil
ayurveda : Healing 
magnolia : Nature 
woodscrew : Blunt
minerva : Magic
jackal : Animal
screwtop : Tech
eunectes : Animal
photolithograph : Tech
sodalite : Earth
browser : Tech
gnat : Animal
perejil : Nature
andrenidae : Animal
shred : Cutting
hospitalization : Healing
aegypiidae : Animal 
rubidium : Toxic
henbane : Toxic
meningitis : Toxic
asclepiad : Healing 
siltstone : Earth 
appendicitis : Healing
reliever : Healing 
alleviator : Healing 
caenolestidae : Animal
hibiscus : Nature
triaenodon : Animal
torchlight : Fire
lycium : Nature
filicide : Evil
cycadofilicales : Nature
neostigmine : Healing
weed: Nature
ohmmeter: Tech
nudibranchia: Animal 
cutlet: Cutting
vivification : Life
bad : Evil
charm : Magic
crotalidae : Animal
gearing : Tech
hunt : Animal
trustworthiness : Good
scorpionfish : Animal
bunny : Animal
kauri : Nature
bomb : Fire
paddlefish : Water
perversity : Evil
plutonium : Toxic
apostasy : Evil
commercialization : Tech
oxydendrum : Nature
pediculus : Animal
refractivity : Light
pinite : Nature
linux : Tech
alsophila : Nature
lemmus : Animal
saxitoxin : Toxic
hygrophyte : Nature
arctictis : Animal
seedsman : Nature
perspiration : Life
deadness : Death
sabotage : Evil
garnet : Earth
puddle : Water
subsistence : Life
time-fuse : Tech
gramineae : Nature
mammalia : Animal
paragonite : Earth
gulf : Water
detonation : Fire
metallurgy : Earth
delonix : Nature
vengeance : Evil
sanctuary : Light
duckling : Animal
coon : Animal
shetland : Animal
callinectes : Animal
pomacentrus : Animal
pandanales : Nature
sand : Earth
firetrap : Fire
electric : Electric
juvenescence : Life
gee-gee : Animal
tardigrada : Animal
warlock : Evil
subshrub : Nature
perognathus : Animal
subsystem : Tech
flowage : Water
castanospermum : Nature
diodontidae : Animal
eelblenny : Animal
emery : Earth
socializer : Nature
brochette : Piercing
topaz : Earth
blitz : Electric
freshet: Water
opah: Nature
tilletia: Toxic
totemism: Nature
inauspiciousness: Evil
ungodliness: Evil
ganoid: Animal
compress: Tech
venison: Animal
greyhound: Animal
muscardinus: Animal
bootlace : Nature
kleptomania : Evil
papaya : Nature
sea-duty : Water
amaranthus : Nature
agriculture : Nature
canalization: Water
stratigraphy: Earth
lamium: Nature
cupressus: Nature
jacquinia: Nature
umbelliferae : Nature
barnburner : Fire
r-2 : Tech
nothofagus : Nature
nephrotoxin : Toxic
parasitemia : Toxic
leech : Animal
dormancy : Life
brant : Animal
edmontosaurus : Animal
abhorrence : Evil
chemotherapy : Healing
capreolus : Animal
flasher : Electric
silkworm : Animal
bowling : Blunt
conger : Animal
hadrosauridae : Animal
stray : Animal
viscacha : Animal
whip-snake : Animal
deviltry : Evil
botany : Nature
cavia : Animal
anser : Animal
wire : Tech
volta : Electric
detoxification : Toxic
tool: Tech
pilosella: Nature
ironmongery: Tech
carangidae: Animal
rorqual: Animal
clawfoot: Animal
passionflower: Nature
peristediinae: Animal
bedbug: Animal
chlorenchyma : Nature
rhizotomy : Nature
scorpion : Animal
pathogen : Toxic
sunlamp : Light
cat's-tail : Animal
wing : Air
racketeering : Evil
ball-buster : Blunt
arsenic : Toxic
engineering : Tech
wheatgrass : Nature
framework: Tech
bryophyte: Nature
necrophilia: Evil
embryo: Life
self-destruction: Evil
lifeline : Life
branta : Animal
watercress : Water
hurricane : Air
idolater : Evil
thrombocytopenia : Toxic
declinometer : Tech
poxvirus : Toxic
pekinese : Animal
radio : Electric
boiling : Water
honeycreeper : Animal
immunotherapy : Healing
plantain : Nature
rosales : Nature
triphammer : Blunt
barnyard : Animal
hoofprint : Animal
clethrionomys : Animal
toxotes : Toxic
lantern : Light
momotidae : Animal
centaury : Nature
physostigmine : Toxic
momordica : Nature
chrysotherapy : Light
beaver : Animal
thrashing : Blunt
pinwheel : Electric
skirmisher : Nature
downfall : Evil
transience : Nature
refresher : Healing
pythium : Toxic
wheeze : Air
renaissance : Light
ditch : Earth
cruiser : Tech
alchemist : Magic
emydidae : Animal
phylactery : Magic
wetland : Water
ruby : Earth
alyssum : Nature
semitrailer : Tech
laver : Water
sandwort : Earth
thallophyta: Nature
terrorism: Evil
freeze : Water
duck : Animal
pneumoconiosis : Toxic
dust : Air
autofocus : Tech
kinesis : Magic
reactor : Tech
tepidness : Water
babysitting : Healing
wiggler : Animal
commutator : Tech
arthroplasty : Healing
resin : Earth
catling : Animal 
serration : Cutting
scardinius : Animal
roadkill : Animal 
desktop : Tech 
gamecock : Animal 
mors : Death 
monocline : Nature
ramphastidae : Animal
gramicidin : Toxic
format : Tech
maniraptora : Animal
myrica : Nature
fenrir : Evil
grassfinch : Animal
chenopodiaceae : Nature
vaccine : Healing
manes : Magic
laguncularia : Nature
sawwort : Nature
buckleya : Nature
revenant : Death
surnia : Animal
notropis : Animal
coalface : Earth
toxemia : Toxic
bricklayer : Earth
xanthorrhoeaceae : Nature
airspace : Air
electrodeposition : Electric
telephone : Tech
cairn : Earth
zoophobia : Animal
rain : Water
stoning : Blunt
slaver : Evil
sillago : Water
peacock : Animal
pyromaniac : Fire
surfing : Water
hydrostatics : Water
ichthyology : Animal
tusker : Animal
spoonbill : Animal
bioluminescence : Light
lobelia : Nature
adesite : Earth
teraflop : Tech
antibacterial : Healing
earthnut : Earth
carpenter : Blunt
phone : Tech
hatchet : Cutting
cabinetmaker : Blunt
spank: Blunt
hellhound : Evil
taxodium : Nature
bayou : Water
linseed : Nature
arctium : Nature
comforter : Healing
hydrophyllaceae : Nature
carburetor : Tech
hygrophoraceae : Nature
ultima : Magic
elite : Good
wight : Dark 
spider : Animal
nybble : Tech
lepidobotryaceae : Nature
earth-god : Nature
phascolarctos : Animal
angelus : Good
moss-trooper : Animal
mimicry : Magic
catapult : Tech
pasture : Nature
gingivitis : Healing
input : Tech
solanopteris : Nature
starter : Electric
hypocrisy : Evil
laelia : Nature
palmetto : Nature
prickleback : Animal
adenovirus : Toxic
panorpidae : Animal
dipole : Electric
carnelian : Earth
hardware : Tech
copepod : Animal
brucella : Toxic
heroism : Good
cumin : Nature
sanicle : Nature
sponge : Water
bighorn : Animal
derringer : Piercing
fragaria : Nature
bluntness : Blunt
shagbark : Nature
radome : Tech
clone : Evil
prometheus : Fire
mauler : Cutting
triazine : Toxic 
solution : Water 
beagling : Animal 
paintball : Blunt 
pinetum : Nature 
infielder : Blunt 
dogbane : Nature
bovidae : Animal
copying : Tech
cornetfish : Animal
vireonidae : Animal
sassafras : Nature
ibuprofen : Healing
aquaphobia : Water
electroencephalograph : Electric
bogeyman : Evil
splashdown: Water 
hamster: Animal 
bhagavad-gita: Light 
lightening: Electric 
bobolink: Animal 
grizzly: Animal 
harassment: Evil 
scissors: Cutting 
concertina : Piercing
setscrew : Tech
akkadian : Evil
knocker : Blunt
mend: Healing
anencephaly: Death
pomfret: Animal
accentor: Animal
culebra: Animal
platymiscium: Animal
bluegrass : Animal
bactericide : Toxic 
barbarea : Nature
gasterosteidae : Animal
echoencephalograph : Tech
landfill : Earth
capacitance : Tech
clove : Nature
fouquieria : Nature
scoter : Animal
wilderness : Nature
avenger : Good
ouranopithecus : Animal
gangsta : Evil
revelation : Light
photomechanics : Tech
filariasis : Toxic
ambystomid : Animal
gumweed : Nature
actuator : Tech
jewel : Earth
gnatcatcher : Animal
vizsla : Animal
sedative-hypnotic : Toxic
hive : Animal
tardigrade : Animal
pyrene : Fire
methenamine : Toxic
potsherd : Blunt
hemigalus : Animal
sunburst : Light
galvanizer : Electric
crownbeard: Nature
cabala: Magic
hypoxidaceae: Nature
oxalis: Nature
radio-phonograph: Tech
firebox: Fire
microflora: Nature
technician : Tech
eriophorum : Nature 
cetacean : Animal 
rampion : Nature 
lupinus : Nature
nailer : Piercing
larvacean : Water
skinny-dipper : Nature
cyperaceae : Nature
feverfew : Healing
roost : Animal
antipyretic : Healing
bluetick : Animal
antirrhinum : Nature
alpaca : Animal
updraft : Air
bosporus : Water
sow : Animal
nidularia : Nature
murder : Evil
candlenut : Nature
dingo : Animal
amorpha : Nature
soldier : Good
vicugna : Animal
lymphedema : Healing 
myelogram : Tech 
paganism : Nature 
myrmecobius : Animal 
dragunov : Cutting 
hippobosca : Animal 
monarchist : Good 
king : Good 
dystopia : Evil 
solstice : Nature 
soleidae : Animal
flicker: Light 
stallion : Animal
occiput : Healing
adamance : Magic
decimal : Tech
mulberry : Nature
cynara : Nature
rotenone : Toxic
nereus : Water
gaminess : Animal
penuche : Nature
shoreline : Water
pacifism : Good
psychic : Magic
venturi : Air
blackout : Dark
terpene : Nature
nautilidae : Water
tilia : Nature
catfish :Animal
myth : Magic
dillenia : Nature
munition : Tech
dugongidae : Animal
realgar : Toxic
image : Light
fencer : Piercing
ampere-minute : Electric
brave : Good
puffinus : Animal
clinician : Healing
hyacinth : Nature
katamorphism : Magic
sphaerocarpaceae : Nature
conveyer : Tech
drizzle : Water
radiogram : Electric
strafer : Tech
helpfulness : Good
pooch : Animal
panfish : Water
starlight : Light
unhappiness : Evil
castoridae : Animal
ferule : Blunt
firebase : Fire
japonica : Nature
serranidae : Animal
harmonizer : Magic
ceres : Nature
ledum : Nature
shyster : Evil
trance : Magic
spavin : Animal
apocalypse : Evil
cyperus : Air
piperaceae : Nature
longan : Nature 
shipbuilder : Tech
caress : Healing
microtus : Animal 
menace : Evil
parnassia : Nature
onyx : Earth
prince's-feather : Nature
ironclad : Tech
goldfield : Earth
weatherglass : Air
seabird : Animal
decapitation : Death
thermogram : Fire 
clammyweed : Toxic
pollution : Toxic
portal : Magic
spicebush: Nature
galangal: Nature
titmouse : Animal
alder : Nature
anabiosis : Life
fluorouracil : Toxic
telegrapher : Tech
microbe : Toxic
spell : Magic
hepatotoxin : Toxic
thalassoma : Water
vesuvius : Fire
slave : Evil
passerina: Animal
metalwork: Tech
photosensitivity: Light
blueberry: Nature
prefabrication: Tech
drain: Water
chisel: Cutting
egg-and-dart: Piercing
bearberry: Nature
saxhorn: Earth
velcro : Tech 
kolkwitzia : Nature
natrix : Animal
gaur : Animal
lufengpithecus : Animal
grunter : Animal
burin : Cutting
symbolizing : Magic
freeware : Tech
raincoat : Water
four-pounder : Blunt
haste : Light
steadfastness : Good
prizefight : Blunt
broadsword : Cutting
barbel : Piercing
bookend : Blunt
favor : Good
catmint : Nature
goat : Animal
nightmare: Dark
rickettsia: Toxic
banderilla: Piercing
bucconidae: Animal
drawknife: Cutting
vine: Nature
ochotonidae: Animal
uxoricide: Evil
altruism: Good
pendragon : Magic
flatfish : Water 
crinoidea : Life 
winter : Nature 
pyrography : Fire
nullah : Water
wood-frog : Animal
turbogenerator : Tech
moorcock : Animal
burglary : Evil
sorbus : Nature
neuritis : Healing
star-duckweed : Water
sheepherder : Animal
ambystomatidae : Animal
dotterel : Animal
magpie : Animal
gastrophryne : Animal
wheat : Nature
ratitae : Animal
pallbearer : Death
inflammation : Fire
expiation : Healing
phyle : Nature
agapornis : Animal
soccer : Blunt
chlorpyrifos : Toxic
felis : Animal
venogram : Tech
zaar : Magic
zinnia : Nature
childhood : Life
orthoclase : Earth
deep-freeze : Electric
sylvilagus : Animal
photocopy : Tech
diethylstilbesterol : Toxic
gnaphalium : Nature
priodontes : Animal
plantaginaceae : Nature
corruption : Evil
alcoholism : Toxic
albuginaceae : Nature
helios : Light
lake : Water
landscaping : Nature
wire-puller : Tech
burr : Blunt
bathymetry : Water
axseed : Nature
pollutant : Toxic
leporid : Animal
probe : Tech
weasel : Animal
halberd : Piercing 
homeostasis : Healing
samba : Fire
strike : Cutting
camelpox : Animal
morganite : Earth
saimiri : Animal
pyrolaceae : Nature
illumination: Light 
jewess: Earth 
zebra : Animal
fleabane : Nature
protozoan : Water
trickery : Magic
anguillidae : Animal
inoculating : Healing
radiography : Tech
she-devil : Evil
probiotic : Healing
fitment : Tech
solenoid : Electric
augite : Earth
caravan : Nature
quartzite : Earth
scauper : Animal
diplopoda : Animal
giardiasis : Toxic
dallisgrass : Nature
speakerphone : Tech
phoenicopteridae : Animal
tupinambis : Animal
lye : Toxic
keyboardist : Tech
tyrant : Evil
tragulidae : Animal
poisoner : Toxic
dirtiness : Earth
hatiora : Nature
kitty : Animal
angiospermae : Nature
orrery : Tech
amperage : Electric
microsurgery: Healing
quarterstaff: Blunt
cupflower: Nature
tantalite: Earth
zoomorphism: Animal
downdraft : Air
boating : Water
isothiocyanate : Toxic
chalcopyrite : Earth
ranales : Nature
glasswort : Nature
toggle : Tech
eriobotrya : Nature
abominator : Evil
superconductivity : Electric
root : Nature 
salol : Toxic
indriidae : Animal 
cyanide : Toxic 
malleus : Blunt
horsewhipping : Blunt
hearse : Death
spiritual : Light
chirp : Animal
groupware : Tech
snag : Piercing
liquidambar : Nature
stroboscope : Electric
malodorousness: Toxic
sanatorium: Healing
membracidae: Animal
methamphetamine: Toxic
halothane: Toxic
seahorse : Animal
olivine : Earth
meltdown : Fire
yggdrasil : Nature
flatworm : Animal
lignite : Fire
anemometer : Tech
ferocactus : Nature
milldam : Water
gadidae : Animal
cardinalfish : Animal
blood : Life
parietaria : Nature
conflict : Evil
minnow : Animal
threskiornis : Animal
hirudo : Animal
brule : Fire
lobipes : Animal
marmite : Nature
chironomus : Animal
handloom : Tech
anorthite : Earth
dishonor : Evil
spicemill : Tech
shoot : Cutting
neonate : Life
housedog : Animal
metrology : Tech
fur : Animal
cnidaria : Animal
crayfish : Animal
blessedness : Good
slapper : Blunt
pheasant's-eye : Nature
Melinae : Animal 
Gazella : Animal 
Hawk : Animal 
Threskiornithidae : Animal 
Stereo : Tech 
Cavy : Animal 
Golfing : Blunt 
decoding : Tech
pentoxide : Toxic
nereid : Animal
gelechiid : Animal
earwig : Animal
sulfanilamide : Toxic
usneaceae : Nature
plectophera : Animal
sunset : Light
fig-bird : Animal
femtochemistry : Toxic
cooperation : Good
jird : Animal
hostage : Evil
fructification : Nature
briber : Evil
tanglebush : Nature
columbidae : Animal
pyrolysis : Fire
odontophorus : Animal
macronectes : Animal
rypticus : Animal
hydroelectricity : Water
piscidia : Animal
tempera : Light
asparagaceae : Nature
ambloplites : Animal
self-control : Good
glitter : Light
ptomaine : Toxic
alcelaphus : Animal
theogony : Light
fetlock : Animal
femur : Animal
urodella : Animal
timepiece : Tech
jab : Piercing
ginglymostoma : Animal
firepower : Fire
orchid : Nature
kinescope: Tech
soar: Air
laparoscope: Tech
ampere-turn: Electric
electronics: Tech
suture : Healing
igniter : Fire
chough : Animal
lapwing : Air
carduelis : Animal
adulthood : Life
tulipa : Nature
calefaction : Fire
pintail : Animal
cockpit : Tech
jynx : Magic
cheep : Animal
sodom : Evil
harakiri : Cutting
horror : Dark
lutrinae : Animal
thallophyte : Nature
gander : Animal
proton : Tech
goral : Animal
seagrass : Water
herd : Animal
gangster : Evil
ammodytes : Water
pericallis : Nature
teju : Animal
choriomeningitis : Healing
arming : Tech
technophile : Tech
naturalism : Nature
wood : Earth
hammer : Blunt
oscilloscope : Tech
photolithography : Tech
chuckwalla : Animal 
remora : Animal
plethodon : Animal
muroidea : Animal
analgesic : Healing
caulophyllum : Nature
desertification : Nature
sunrise : Light
sporophyte : Nature
ribavirin : Toxic
run-time : Tech
marsileaceae : Nature
olympian : Good
horseplay : Animal
iodination : Toxic
balloonist : Air
goldfields : Earth 
blade: Cutting
viverricula: Animal
battle-ax: Blunt
hyperlink: Tech
produce: Nature
octopus: Animal
kilowatt : Electric
clairvoyant : Magic
fluorocarbon : Toxic
limonene : Nature
ignition : Fire
ornithology : Animal
legume : Nature
fist : Blunt
phocoena : Animal
symphytum : Nature
flashing : Light
primates : Animal
elevator : Tech
viburnum : Nature
corona : Light
self-renewal : Healing 
benefaction : Good
cambium : Nature
campephilus : Animal
foster-nurse : Healing
slicing : Cutting
drimys : Nature
osteotomy : Cutting
torah : Light
incantation : Magic
naprapathy : Healing
ethicist : Good
graves : Death
thuggery : Evil
maulstick : Blunt
achillea : Nature
papaveraceae : Nature
cinquefoil : Nature
scanning : Tech
windjammer : Air
nostocaceae : Nature
trachelospermum : Nature
mechanist : Tech
monoplane : Tech
antiproton : Electric
anode : Electric
catabiosis : Life
contribution : Good
vermin : Evil
mound : Earth
charitableness : Good
tempest : Air
mustelus : Animal
sowbane : Toxic
biome : Nature
ilama : Animal
gunmetal : Tech
cat : Animal
mycobacteria : Toxic
dashboard : Tech
invasion : Evil
medic : Healing
copper : Fire
lythrum : Nature
buoyancy : Air
nitrite : Toxic
nekton : Animal
gobble : Animal
berberidaceae : Nature
ostrea : Water
wiretap : Tech
liatris : Nature
hydrophyllum : Nature
cattail : Animal
humidity : Water
condor : Animal
oligochaeta : Animal
marksman : Piercing
welwitschiaceae : Nature
austrotaxus : Nature
xanthophyceae : Nature
saltbush : Nature
oasis : Water
menispermum : Nature
paleogeology : Earth
patience : Life
mercilessness : Evil
hydromancy : Water
bettongia : Animal
chestnut : Nature
chicken : Animal
cyanosis : Toxic
opisthocomidae : Animal
rain-in-the-face : Water
chamosite : Earth
pteris : Nature
seed : Nature
tapeworm : Nature
bellwort : Nature
harvestfish : Animal
kobus : Animal
wheelwork : Tech
pump : Tech 
oximeter : Tech 
astrology : Magic
neomycin : Toxic
refinery : Tech
uakari : Animal
diazoxide : Toxic
shiva : Light
dideoxyinosine : Toxic
backup : Tech
violaceae : Nature
oestrus : Animal
gloom : Dark
anima : Magic
hyoscyamine : Toxic
shortgrass : Nature
pipilo : Animal
heliometer : Tech
militarism : Evil
betulaceae : Nature
khukuri : Cutting
rammer : Blunt
beacon : Light
recording : Tech
artillery : Fire
razorblade : Cutting
retardant : Toxic
aedes : Animal
alkaloid : Toxic
inductor : Tech
psidium : Nature
osteomyelitis : Life
cattleman : Animal
todus : Animal
masticophis : Animal
battue : Blunt
melanoplus : Nature
trombone : Blunt
griffon : Animal
stapler : Tech
lycaenidae : Animal
solandra : Nature
conenose : Animal
ichthyosauridae : Animal
hookworm : Animal
melon : Water
hologram : Magic
peck : Cutting
echinacea : Nature
accumulator : Tech
rockiness : Earth
pistol : Tech
musher : Animal
brutalization: Evil
cursor : Tech
aloeaceae : Nature
lasso : Blunt
gobbler : Animal
crossbones : Death
polymyxin : Toxic
porifera : Nature
caterpillar : Animal
brimstone : Fire
smoker : Toxic
chlorination : Water
pontederia : Nature
mullet : Animal
cleridae : Animal
grounder : Electric
bacillus : Toxic
gleditsia : Nature
mandrill : Animal
dik-dik : Animal
hylobates : Animal
longbow : Piercing
lapdog : Animal
hercules : Good
elves : Magic
videocassette : Tech
supercharger : Electric
honesty : Good
sunbeam : Light
cryptogam : Nature
bomblet : Fire
watermark : Water
life : Life
saxifrage : Nature
repair : Tech
meteoroid : Air 
galago : Animal
oneiromancer : Magic
pluvianus : Nature
urodele : Life
manidae : Animal
danube : Water
guenon : Animal
anemia : Life
delinquency : Evil
digitalization : Tech
chopstick : Piercing
thunderstorm : Electric
conflagration : Fire
lynx : Animal
pinatubo : Fire
emergence : Nature
up-tick : Electric
rosebud : Nature
orangewood : Nature
liliidae : Nature
snow-on-the-mountain : Water
flashboard : Tech
porcupine : Animal
peristyle : Tech
oncorhynchus : Animal
darts : Piercing 
archaebacteria : Nature
moneran : Nature
hook : Piercing
prick : Piercing 
locking : Tech
synthesizer : Tech
bedrock : Earth
inhalation : Air
juncaceae : Nature
armyworm : Animal
orthilia : Nature
nemesis : Evil
dungeon : Dark
landslide : Earth
silhouette : Light
neurotoxin : Toxic
drosophyllum : Nature
mythology : Magic
ready-mix : Tech
auto-da-fe : Evil
shrapnel : Cutting
procellariiformes : Animal
percussionist : Blunt
sulfide : Toxic
orthopedics : Healing
synodontidae : Animal
dirge : Dark
bludgeoner : Blunt
burdock : Nature
biogenesis : Life
server : Tech
pedophilia : Evil
simulator : Tech
conception : Life
cirsium : Nature
scabies : Toxic
martes : Animal
krait : Animal
aeolian : Air
bugloss : Nature
salicylate : Toxic 
dromaius : Animal
counterpunch : Blunt
labrador : Animal
chimaera: Animal
butadiene: Toxic
bobwhite: Animal
natural: Nature
anapsida: Animal
pahautea: Nature
hartebeest: Animal
cerussite: Earth
mongoose: Animal
nageia: Nature
frostweed: Nature
echinococcus: Toxic
ocelot: Animal
bark: Nature
kapok : Nature
mephenytoin : Toxic
shot : Blunt
hiroshima : Fire
limosa : Animal
fruit : Nature
nonaggression : Good
dent : Piercing
jukebox : Tech
peahen : Animal
peen : Blunt
soapwort : Nature
datura : Toxic
aureole : Light
manta : Animal
nester : Animal
gonorhynchidae : Animal
myxomycota : Nature
pregnancy : Life
desmid : Nature
catostomid : Animal
cacajao : Animal
ciconiiformes : Animal
papillon : Nature
guereza : Animal
goldenbush : Nature
stonefish : Water
guttiferae : Nature
insectivora : Animal
firewater : Fire
gomorrah : Evil
boar : Animal
antihistamine : Healing
electronegativity : Electric
skull : Death
vegan : Animal
acanthaceae : Nature
bombina : Fire
skylark : Air
rheumatology : Healing
horseback : Animal
butcher : Cutting
sanguinaria : Nature
sentience : Life
demeter : Nature
celestite : Earth
promethium : Electric
camwood : Nature
poleax : Piercing
matchwood : Fire
hubris : Evil
rafflesiaceae : Nature
blowtorch : Fire
ladybug : Animal
hostilities : Evil
lumen : Light
ember : Fire
wheatworm : Animal
ergotism : Toxic
bot : Tech
arbovirus : Toxic 
fen : Water
indefatigability : Life
fluorosis : Toxic
sulfate : Toxic
hypermedia : Tech
aeronautics : Air
talipot : Nature
rabbit : Animal
cannonball : Blunt
claymore : Cutting
headshot : Piercing
headpin : Piercing
pearlfish : Water
ingrowth : Nature
atrazine : Toxic
windward : Air
mire : Earth
buzzer : Electric
meanie : Evil
malaconotinae : Animal
disinfection : Healing
airedale : Animal
ostariophysi : Animal
weldment : Tech
lazarus : Healing
lakefront : Water
haliaeetus : Animal
verbenaceae : Nature
shakti : Magic
gypsum : Earth
beekeeping : Animal
kleptomaniac : Evil 
dasyurus : Animal
odonata : Animal
technocracy : Tech
panacea : Healing
pelargonium : Nature
day : Life
daylight : Light
wigwam : Nature
localization : Tech
mouser : Animal
needlepoint : Piercing
amnesty : Good
sistrurus : Toxic
crypt : Dark
desperado : Evil
kookaburra : Animal
calendula : Nature
wiring : Tech
lancetfish : Water
baa-lamb : Animal
shiv : Cutting
mergus : Water
termitidae : Animal
dicentra : Nature 
offspring : Life 
neurogenesis : Healing
typhus : Toxic 
sexploitation : Evil 
machiavellian : Evil 
vomit : Toxic
paratroops : Tech
thumbtack : Piercing
sharksucker: Water
brigandine: Cutting
swamp: Water
jungle: Nature
tomograph: Tech
hyperthermia: Fire
muraenidae: Water
helianthemum : Nature
pinnotheres : Animal 
popillia : Animal 
richea : Nature
suicide : Death
downiness : Air
lifework : Life
wish : Magic
swan : Animal
mysticism : Magic
mutiny : Evil
gentianales : Nature
bowler : Blunt
shepherdess : Animal
hydrodynamics : Water
signalization : Electric
escalator : Tech
hydrangea : Nature
tennis : Blunt
obedience : Good
demagnetization : Electric
eland : Animal
watchdog : Animal
sail : Air
liftoff : Tech
foe : Evil
vernation : Nature
bryaceae : Nature
smilacaceae : Nature
knife : Cutting
senecio : Nature
dendrocolaptes : Animal
aspirator : Tech
procavia : Animal
osteoporosis : Life
theropoda : Animal
recirculation : Water
lycopsida : Nature
jihadist : Evil
woodwardia : Nature
brickyard : Earth
primulaceae : Nature
festering : Toxic
sandman : Dark
spanker : Blunt
cordite : Fire
helminth : Toxic
barratry : Evil
oligochaete : Animal
etanercept : Tech
peripatopsidae : Animal
magnesite : Earth 
fluorescence : Light
nanometer : Tech
coondog : Animal
telegraph : Tech
spheniscidae : Animal
synchrocyclotron : Tech
opuntiales : Nature
blackbird : Animal
bloodworm : Animal
latanier : Nature
mew : Animal
naga : Animal
gamete : Life
poorwill : Animal
piccolo : Light
orchidalgia : Healing
aging : Life
sulidae : Water
davit : Tech
cryonics : Healing
vallisneria : Nature
windmill : Air
myliobatidae : Animal
meniscectomy : Healing
terebellidae : Animal
linecut : Cutting
curette : Piercing
thermocautery : Fire
fire : Fire
firebreak : Fire
ferromagnetism : Tech
stamina : Life
summons : Magic
dytiscidae : Animal
cowgirl : Animal
pome : Nature
treelet : Nature
autopilot : Tech
halon : Toxic
denudation : Earth
wristwatch : Tech
sunflower : Nature
fireman : Fire
antiviral : Toxic
colliery : Earth
disinfestation : Toxic
hemodialysis : Healing
macrozoarces : Animal
broomstick : Magic
tremella : Nature
bioweapon : Toxic
permafrost : Water
pharmacopoeia : Healing
spirochete : Nature
seseli : Nature
refraction : Light
greenpeace : Nature
beater : Blunt
cockfighting : Animal
ruminantia : Animal
motorboat : Tech
basin : Water
diastole : Life
dionaea : Nature
robotics : Tech
self-hypnosis : Magic
thunderbird : Electric
deserts : Earth
hirundo : Air
fieriness : Fire
pyroelectricity : Electric
defervescence : Healing
aplite : Earth
abjurer : Magic
wolf : Animal
aphanite : Earth
iguanid : Animal
hoodoo : Magic
santalum : Nature 
lactation : Animal 
micturition : Water 
clupeidae : Animal 
alocasia : Nature 
coleus : Nature 
mesua : Nature 
fouquieriaceae : Nature 
rennin : Animal 
potamogalidae : Animal 
squatinidae : Animal 
stiletto : Piercing
jackknife : Cutting
backsword : Cutting
phalanx : Blunt
meleagrididae : Animal
poussin : Animal
zapus : Animal
diapheromera : Animal
combine : Tech 
phylloscopus : Animal
octopod : Animal 
serinus : Animal 
hypnosis : Magic
intumescence : Nature
dogie : Animal
siemens : Tech
opossum : Animal
intranet : Tech
selflessness : Good
limicolae : Animal
woodcarver : Nature
mudra : Magic
kill : Evil
luminescence : Light
upgrade : Tech
calcination : Fire
earthtongue : Earth
brass : Earth
conservancy : Nature
folk : Nature
formalin : Toxic
odonate : Animal
tetanus : Toxic
suricata : Animal
flintlock : Blunt
appalachians : Earth
stonechat : Animal
optics : Tech
xylophonist : Blunt
chopine : Blunt
cytolysis: Toxic
phenothiazine: Toxic
sanitariness: Healing
panthera: Animal
tolbutamide: Toxic
aurochs: Animal
stumping: Blunt 
shining: Light
tachometer: Tech
dormouse: Animal
esocidae: Animal
ultracentrifuge : Tech
trichina : Toxic
bat : Animal
chiralgia : Healing
glauconite : Earth
vegetation : Nature
campfire : Fire
parrotfish : Animal
agapanthus : Nature
bedpost : Blunt
club : Blunt
bench : Blunt
minesweeper : Earth
sawmill : Cutting
grandchild : Life
chrome : Tech
phaeophyta : Nature
megasporangium : Nature
epilobium : Nature
chemiluminescence : Light
conilurus : Animal
phytolacca : Nature
mandragora : Magic
hematologist : Healing
schistosome : Animal
nitrofuran : Toxic
carabidae : Animal
crotalaria : Nature
clairvoyance : Magic
dugong : Animal
euglena : Water
cynoscephalae : Animal
salmo : Water
defoliation : Nature
imprisonment : Evil
rotter : Evil
swimmeret : Animal
ratibida : Nature
cortinariaceae : Nature
schizogony : Dark
safranine : Toxic
sparid : Animal
puppeteer : Magic
diplodocus : Animal
banjo : Blunt
lygaeidae : Animal
schist : Earth
healthfulness : Healing
centaur : Animal
anopheles : Animal
melogale : Animal
otus : Animal
hydrosphere : Water
zoanthropy : Magic
hotness : Fire
filoviridae : Toxic
wartime : Evil
messenger : Light
arvicola : Animal
lymphocytosis : Healing
florist : Nature
sinornis : Animal
thulium : Tech
ash : Fire
anguilla : Animal
hexapod : Animal
drum : Blunt
sick : Healing
psittacosis : Toxic
lepidoptera : Animal
dictaphone : Tech
stockpile : Earth
lepidodendrales : Nature
viricide : Toxic
monasticism : Healing
invertebrate : Animal
cd-r : Tech
cucurbita : Nature
corgi : Animal
terpsichore : Nature
mantis : Animal
preserve : Nature
oceanus : Water
in-fighting : Blunt
sandpiper : Air
